economy,series,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2012
ITA,NY.GDP.PCAP.KD,30257.6274259351,29979.9187217358,30242.3861352184,30685.645898943,31244.2270989224,31593.4802621599,32114.2998563994,29353.8154433028,31505.9489224989,,31184.5584255896
LTU,NY.GDP.DEFL.KD.ZG.AD,1.28133222727746,0.833592064248663,0.0636827914669311,1.57625277213522,4.24343178964807,3.52621213589298,2.65423419417816,1.45928157400878,6.53813283647445,,2.73425349368634
LTU,NY.GDP.MKTP.CD,46523420074.4372,48533659592.1728,41435533340.3883,43047309305.7363,47758736931.7801,53751411409.4447,54751510087.7803,56846622904.4391,66445256585.3671,,42927454291.478
LTU,NY.GDP.MKTP.KD.ZG,3.55007284270485,3.53700987901611,2.02458395469182,2.51882827307178,4.28259695120761,3.99331032795327,4.62510313907674,-0.0217629740036216,5.98103211278502,,3.8438647490634
LTU,NY.GDP.PCAP.KD,13262.3344620771,13850.0001271199,14263.9645773495,14810.2517786273,15661.9962536775,16443.5852875776,17249.7184431077,17241.3488235121,18233.7157800947,,12678.6926859879
MMR,NY.GDP.DEFL.KD.ZG.AD,3.79699157742235,4.26520661630386,8.37489724067422,-2.65135241382431,5.37290102051014,5.44565943599471,6.26521865850498,3.84425453561971,4.80255500360398,,6.43546634106525
MMR,NY.GDP.MKTP.CD,60572257122.2962,63264892768.3726,63045305229.1046,60291736893.9397,61449392056.1488,67144725830.5753,68697759361.231,78930257227.0908,65091751273.2879,,58318677644.9492
MMR,NY.GDP.MKTP.KD.ZG,7.89866947823812,8.19966375042618,3.27727941700189,10.5077807807102,5.75006450029507,6.404977325147,6.7504601462238,3.17377440041078,-17.9129448042714,,6.4857540044064
MMR,NY.GDP.PCAP.KD,1113.92740094075,1195.25725864897,1224.56234328693,1342.58650914239,1409.03372273586,1488.53051913825,1577.80271146309,1616.20849776001,1317.45301357919,,1041.22587003176
NCL,NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,
NCL,NY.GDP.MKTP.CD,10151385305.7645,10635039738.6899,8738205836.7394,8724570249.74306,9173668102.13844,9846922416.14776,9438130987.37298,9435529927.2471,10071351960.0477,,9659153061.35633
NCL,NY.GDP.MKTP.KD.ZG,,,,,,,,,,,
NCL,NY.GDP.PCAP.KD,,,32428.5824862295,,,,,,,,
NOR,NY.GDP.DEFL.KD.ZG.AD,2.55519558349381,0.290603973053521,-2.85486501270054,-1.47425382556115,3.95110454864106,6.65160826591449,-0.472598023910763,-3.60460515845841,16.9279461588665,,3.3429205789641
NOR,NY.GDP.MKTP.CD,522761531914.894,498410050251.256,385801550067.169,368827142857.143,398393955268.99,436999692591.454,404941363636.364,362198318435.26,482174854481.956,,509506317146.541
NOR,NY.GDP.MKTP.KD.ZG,1.03407291353631,1.9695443007939,1.96712843821408,1.07155897720727,2.32329020838249,1.11882847945122,0.745798219243483,-0.717182669244792,3.88093603636767,,2.70310947059309
NOR,NY.GDP.PCAP.KD,73046.9050292415,73650.3135435049,74355.5158575643,74493.1179371245,75610.6494832583,75953.5819514803,76005.224786526,75017.1567472977,77512.89678936,,73178.784945419
SGP,NY.GDP.DEFL.KD.ZG.AD,-0.431059391871671,-0.267270041634802,3.07195500966418,0.442642042351423,2.80187474495,3.50682904031187,-0.359222234570197,-2.97216809409106,4.03251422334763,,0.495345771200874
SGP,NY.GDP.MKTP.CD,307576360584.992,314851156183.411,308004146057.608,318832428519.725,343193352161.634,376998146500.593,375472731271.075,345295933898.674,396986899888.351,,295087220933.024
SGP,NY.GDP.MKTP.KD.ZG,4.81763099120676,3.93554027709007,2.97679931634806,3.56169799036049,4.6614350486482,3.66130499436235,1.09567256732588,-4.14310562126106,7.61396261502647,,4.43549759378537
SGP,NY.GDP.PCAP.KD,53299.9420690388,54682.9280074351,55646.6187469505,56885.7187229482,59484.685464386,61373.6484785038,61340.1661723862,58982.4609149611,66176.3870010699,,51680.2924786205
TUR,NY.GDP.DEFL.KD.ZG.AD,6.2801096970818,7.38951863770303,7.84491693010263,8.13047807814451,10.9824216683285,16.4758182074064,13.8192559838756,14.8528234526725,28.9505861055085,,7.42267328660553
TUR,NY.GDP.MKTP.CD,957783020853.031,938952628604.067,864316670330.882,869692960365.551,858996263095.858,778471900960.981,759937390496.669,720289368333.191,819035182929.585,,880556375779.51
TUR,NY.GDP.MKTP.KD.ZG,8.48581699653026,4.9397151613658,6.08448690443663,3.32308420845746,7.50199748917491,2.97988525813022,0.783610198384551,1.9400322454902,11.3534964080772,,4.78849271108008
TUR,NY.GDP.PCAP.KD,10138.8287513476,10430.4451988451,10851.9541305658,11022.5292614965,11694.9252340653,11938.7828744092,11935.4252883628,12072.4372855693,13341.5981737484,,9506.99638178994
